epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,5577.77490234375,8e-05,54.40793991088867,0.6763250827789307,1165.5386962890625,20.418935775756836,0.9338066577911377
1,3816.824951171875,8e-05,46.050636291503906,0.7754457592964172,1392.636474609375,26.319929122924805,0.9204270839691162
2,3643.336669921875,8e-05,44.976470947265625,0.7853280901908875,1855.50927734375,34.62699890136719,0.8912110924720764
3,3521.201171875,8e-05,44.142024993896484,0.7929948568344116,1132.3763427734375,20.366315841674805,0.9346948266029358
4,3479.03076171875,8e-05,43.791603088378906,0.7951541543006897,1330.8182373046875,24.713090896606445,0.926264762878418
5,3424.91943359375,8e-05,43.5241584777832,0.7989413738250732,922.4692993164062,15.524203300476074,0.9482070207595825
6,3375.779541015625,8e-05,43.164608001708984,0.8025215864181519,831.8427124023438,13.913816452026367,0.9539961218833923
7,3366.51025390625,8e-05,43.13935470581055,0.8011358976364136,849.0984497070312,13.374731063842773,0.9524651765823364
8,3317.89208984375,8e-05,42.76653289794922,0.8047570586204529,834.5471801757812,12.586094856262207,0.9539168477058411
9,3282.07763671875,8e-05,42.56483840942383,0.8067007660865784,875.5993041992188,14.57838249206543,0.9504286050796509
10,3245.582763671875,8e-05,42.34292221069336,0.8092560172080994,791.73486328125,11.431554794311523,0.9554240107536316
11,3265.883544921875,8e-05,42.402687072753906,0.8087790012359619,854.0300903320312,15.456098556518555,0.9513609409332275
12,3210.584716796875,8e-05,42.153717041015625,0.8118234872817993,1022.3670654296875,18.509435653686523,0.941219687461853
13,3185.94384765625,8e-05,41.9589958190918,0.8124229311943054,834.572021484375,13.453224182128906,0.9528840780258179
14,3175.863037109375,8e-05,41.87241744995117,0.8134317994117737,915.3994140625,17.391735076904297,0.9476661682128906
15,3130.6025390625,8e-05,41.62465286254883,0.8154692053794861,756.537109375,11.978303909301758,0.9575506448745728
16,3119.59033203125,8e-05,41.51518630981445,0.8159313201904297,1006.7955932617188,16.92300033569336,0.9447663426399231
17,3112.467529296875,8e-05,41.48899459838867,0.8173636198043823,1065.317626953125,20.84221839904785,0.9390709400177002
18,3085.955322265625,8e-05,41.290977478027344,0.8180474638938904,947.7373657226562,18.671361923217773,0.9456794261932373
19,3055.020263671875,8e-05,41.02680969238281,0.8211291432380676,1329.1688232421875,25.570032119750977,0.9236211180686951
20,3029.17431640625,8e-05,40.92822265625,0.8214372992515564,1686.49951171875,31.445415496826172,0.9015290141105652
21,3051.823486328125,8e-05,40.95106887817383,0.8208473324775696,1071.9339599609375,20.887855529785156,0.9388847947120667
22,3040.2607421875,8e-05,40.86705780029297,0.8214124441146851,2146.548828125,37.83816146850586,0.8750312328338623
23,2997.814208984375,8e-05,40.680606842041016,0.8239009380340576,1167.342041015625,21.66086769104004,0.9358769655227661
24,2992.777099609375,8e-05,40.524375915527344,0.8247479200363159,990.8424682617188,17.922597885131836,0.946510374546051
